locus_chr	locus_start	locus_end	locus_width	locus_name	locus_ngene	locus_pheno	gene_locusdist_kbp	gene_name	gene_type	gene_tss	gene_end
06	36594353	36986298	391.945	rs1321311+rs236349+rs9470361	8	QRS	42.224	RAB44	protein_coding	36697826	36733184
06	36594353	36986298	391.945	rs1321311+rs236349+rs9470361	8	QRS	60.77	SRSF3	protein_coding	36594353	36605600
06	36594353	36986298	391.945	rs1321311+rs236349+rs9470361	8	HR+QRS	95.408	CPNE5	protein_coding	36757381	36839444
06	36594353	36986298	391.945	rs1321311+rs236349+rs9470361	8	HR	95.474	PI16	protein_coding	36948263	36964837
06	36594353	36986298	391.945	rs1321311+rs236349+rs9470361	8	HR	119.235	MTCH1	protein_coding	36972024	36986298
03	69739456	69968336	228.88	rs13314892	1	QRS	6.445	MITF	protein_coding	69739456	69968336
04	20182314	20620561	438.247	rs1344852	1	QRS	70.946	SLIT2	protein_coding	20253260	20620561
01	205631893	205943460	311.567	rs1361754+rs1775154	7	QT	4.719	PM20D1	protein_coding	205828025	205850132
01	205631893	205943460	311.567	rs1361754+rs1775154	7	QT	14.665	NUCKS1	protein_coding	205712822	205750182
01	205631893	205943460	311.567	rs1361754+rs1775154	7	QT	19.546	SLC41A1	protein_coding	205813198	205813748
01	205631893	205943460	311.567	rs1361754+rs1775154	7	QT	40.499	RAB29	protein_coding	205767986	205775482
01	205631893	205943460	311.567	rs1361754+rs1775154	7	QT	64.819	SLC45A3	protein_coding	205662668	205680509
01	205631893	205943460	311.567	rs1361754+rs1775154	7	QT	95.594	ELK4	protein_coding	205631893	205632011
01	205631893	205943460	311.567	rs1361754+rs1775154	7	QT	103.078	SLC26A9	protein_coding	205935822	205943460
07	35202430	35267372	64.942	rs1362212+rs1419856+rs58437978	1	HR+QRS	16.235	TBX20	protein_coding	35202430	35254100
11	19993730	20160475	166.745	rs1372797	1	PR	162.425	DBX1	protein_coding	20156155	20160475
07	131110096	131496632	386.536	rs138186803+rs2129561	1	HR+PR	168.916	MKLN1	protein_coding	131110096	131496632
05	118909006	118988547	79.541	rs1388107+rs7726558	1	JT	75.622	DTWD2	protein_coding	118988220	118988547
18	41955234	42087830	132.596	rs1397988	1	JT	67.568	PIK3C3	protein_coding	41955234	42087830
07	100049774	100221490	171.716	rs140367586	14	HR	0.882	GAL3ST4	protein_coding	100167284	100168617
07	100049774	100221490	171.716	rs140367586	14	HR	1.44	GPC2	protein_coding	100169606	100177381
07	100049774	100221490	171.716	rs140367586	14	HR	9.397	STAG3	protein_coding	100177563	100221488
07	100049774	100221490	171.716	rs140367586	14	HR	11.726	TRAPPC14	protein_coding	100156440	100158723
07	100049774	100221490	171.716	rs140367586	14	HR	19.248	LAMTOR4	protein_coding	100148918	100155944
07	100049774	100221490	171.716	rs140367586	14	HR	41.381	MBLAC1	protein_coding	100126785	100128495
07	100049774	100221490	171.716	rs140367586	14	HR	48.532	CNPY4	protein_coding	100119634	100125508
07	100049774	100221490	171.716	rs140367586	14	HR	50.075	PVRIG	protein_coding	100218241	100221490
07	100049774	100221490	171.716	rs140367586	14	HR	53.551	TAF6	protein_coding	100114615	100119841
07	100049774	100221490	171.716	rs140367586	14	HR	66.617	AP4M1	protein_coding	100101549	100110345
07	100049774	100221490	171.716	rs140367586	14	HR	66.796	MCM7	protein_coding	100101370	100101940
07	100049774	100221490	171.716	rs140367586	14	HR	79.197	COPS6	protein_coding	100088969	100092187
07	100049774	100221490	171.716	rs140367586	14	HR	86.439	ZNF3	protein_coding	100081727	100082548
07	100049774	100221490	171.716	rs140367586	14	HR	118.392	ZSCAN21	protein_coding	100049774	100065040
13	46553168	46753040	199.872	rs1408224+rs9590974	1	PR+QRS	87.915	LRCH1	protein_coding	46553168	46753040
02	123408943	124921219	1512.276	rs1439840	1	JT	616.344	CNTNAP5	protein_coding	124025287	124921219
01	5990927	6261098	270.171	rs145358377+rs200882245+rs2273042+rs709209+rs846111	7	HR+JT+QT	6.602	RNF207	protein_coding	6205475	6221299
01	5990927	6261098	270.171	rs145358377+rs200882245+rs2273042+rs709209+rs846111	7	HR+JT+QT	12.482	RPL22	protein_coding	6199595	6209389
01	5990927	6261098	270.171	rs145358377+rs200882245+rs2273042+rs709209+rs846111	7	HR+JT+QT	12.725	CHD5	protein_coding	6101787	6180321
01	5990927	6261098	270.171	rs145358377+rs200882245+rs2273042+rs709209+rs846111	7	HR+JT+QT	16.654	ICMT	protein_coding	6235964	6235972
01	5990927	6261098	270.171	rs145358377+rs200882245+rs2273042+rs709209+rs846111	7	HR+JT+QT	24.869	HES3	protein_coding	6244179	6245578
01	5990927	6261098	270.171	rs145358377+rs200882245+rs2273042+rs709209+rs846111	7	HR+JT+QT	28.043	GPR153	protein_coding	6247353	6261098
01	5990927	6261098	270.171	rs145358377+rs200882245+rs2273042+rs709209+rs846111	7	QT	98.135	KCNAB2	protein_coding	5990927	6101193
03	161496808	162276405	779.597	rs1478173	1	JT	779.597	OTOL1	protein_coding	161496808	161503942
03	69357651	69542583	184.932	rs1483890+rs900669	1	HR+PR	24.514	FRMD4B	protein_coding	69386088	69542583
14	77800109	77935014	134.905	rs1549118	1	HR	113.232	ADCK1	protein_coding	77800109	77935014
11	10294221	10507579	213.358	rs1562782	3	QRS	12.851	AMPD3	protein_coding	10308313	10507579
11	10294221	10507579	213.358	rs1562782	3	QRS	16.091	ADM	protein_coding	10305073	10307397
11	10294221	10507579	213.358	rs1562782	3	QRS	26.943	SBF2	protein_coding	10294221	10304877
16	10671778	10818794	147.016	rs1592560	3	HR	25.956	NUBP1	protein_coding	10743786	10769351
16	10671778	10818794	147.016	rs1592560	3	HR	46.052	TEKT5	protein_coding	10671778	10694930
16	10671778	10818794	147.016	rs1592560	3	HR	100.777	TVP23A	protein_coding	10818607	10818794
02	147715326	147930826	215.5	rs1606812	1	JT	129.191	ACVR2A	protein_coding	147844517	147930826
01	162292036	162529631	237.595	rs164133+rs17460657+rs347272	4	QT	0.638	SH2D1B	protein_coding	162412136	162412138
01	162292036	162529631	237.595	rs164133+rs17460657+rs347272	4	QT	24.495	SPATA46	protein_coding	162373203	162376854
01	162292036	162529631	237.595	rs164133+rs17460657+rs347272	4	QT	30.133	C1orf226	protein_coding	162378841	162386812
01	162292036	162529631	237.595	rs164133+rs17460657+rs347272	4	QT	85.753	UHMK1	protein_coding	162497251	162529631
03	111911940	112081269	169.329	rs16858828	3	PR	67.07	ABHD10	protein_coding	111979010	111993368
03	111911940	112081269	169.329	rs16858828	3	PR	86.982	TAGLN3	protein_coding	111998922	112013887
03	111911940	112081269	169.329	rs16858828	3	PR	122.903	TMPRSS7	protein_coding	112034843	112081269
05	892884	1112063	219.179	rs16870629+rs737154	3	JT+QT	6.146	NKD2	protein_coding	1008802	1038943
05	892884	1112063	219.179	rs16870629+rs737154	3	JT+QT	14.9	SLC12A7	protein_coding	1050384	1112063
05	892884	1112063	219.179	rs16870629+rs737154	3	QT	122.064	TRIP13	protein_coding	892884	919357
08	122297441	122974510	677.069	rs16895033	1	JT	484.214	ZHX2	protein_coding	122781655	122974510
08	70109782	70403808	294.026	rs16936870	1	QT	167.325	NCOA2	protein_coding	70109782	70403808
19	40216058	40465764	249.706	rs16974196	10	HR	8.027	C19orf47	protein_coding	40319536	40348527
19	40216058	40465764	249.706	rs16974196	10	HR	20.893	PLD3	protein_coding	40348456	40380439
19	40216058	40465764	249.706	rs16974196	10	HR	42.218	AKT2	protein_coding	40285345	40285536
19	40216058	40465764	249.706	rs16974196	10	HR	51.708	HIPK4	protein_coding	40379271	40390181
19	40216058	40465764	249.706	rs16974196	10	HR	71.253	PRX	protein_coding	40398816	40414793
19	40216058	40465764	249.706	rs16974196	10	HR	94.026	SERTAD1	protein_coding	40421589	40425992
19	40216058	40465764	249.706	rs16974196	10	HR	100.874	CCNP	protein_coding	40226689	40226697
19	40216058	40465764	249.706	rs16974196	10	HR	111.505	TTC9B	protein_coding	40216058	40218384
19	40216058	40465764	249.706	rs16974196	10	HR	115.035	SERTAD3	protein_coding	40442598	40444335
19	40216058	40465764	249.706	rs16974196	10	HR	120.202	BLVRB	protein_coding	40447765	40465764
02	36965723	37099244	133.521	rs17020136+rs3770770	2	QRS	23.136	HEATR5B	protein_coding	36988859	37084372
02	36965723	37099244	133.521	rs17020136+rs3770770	2	QRS	63.646	GPATCH11	protein_coding	37084518	37099244
04	30720369	32376727	1656.358	rs17081313	1	JT	1656.358	PCDH7	protein_coding	30720369	31146805
14	78170373	79868291	1697.918	rs17107548	1	JT	721.769	NRXN3	protein_coding	78170373	79868291
07	108569874	108763669	193.795	rs17156495	1	JT	193.795	DNAJB9	protein_coding	108569874	108574850
14	72418763	72894101	475.338	rs17180489	1	HR	190.271	DPF3	protein_coding	72609034	72894101
14	85330220	85654428	324.208	rs17201923	1	HR	199.924	FLRT2	protein_coding	85530144	85654428
11	86244753	86423109	178.356	rs17211409	3	JT	23.676	HIKESHI	protein_coding	86302211	86345943
11	86244753	86423109	178.356	rs17211409	3	JT	48.849	CCDC81	protein_coding	86374736	86423109
11	86244753	86423109	178.356	rs17211409	3	JT	81.134	EED	protein_coding	86244753	86278813
20	41136960	41317731	180.771	rs17265513	2	HR	0.053	ZHX3	protein_coding	41204041	41317731
20	41136960	41317731	180.771	rs17265513	2	HR	67.028	PLCG1	protein_coding	41136960	41196801
04	182635289	182917936	282.647	rs17281245	1	JT	282.08	DCTD	protein_coding	182917369	182917936
12	24605546	24949101	343.555	rs17287293+rs4963772	1	HR+PR	192.08	BCAT1	protein_coding	24810024	24949101
10	52314281	52464217	149.936	rs1733724	1	QRS	149.936	DKK1	protein_coding	52314281	52318042
01	50960745	51148086	187.341	rs17391905	2	QRS	21.753	C1orf185	protein_coding	51102221	51148086
01	50960745	51148086	187.341	rs17391905	2	QRS	119.723	CDKN2C	protein_coding	50960745	50974634
04	113496850	113761927	265.077	rs17446418	1	PR	264.334	CAMK2D	protein_coding	113761184	113761927
11	61680391	61965515	285.124	rs174536+rs174577+rs174583	9	HR+QRS+QT	6.148	TMEM258	protein_coding	61790603	61792802
11	61680391	61965515	285.124	rs174536+rs174577+rs174583	9	HR+QRS+QT	8.456	FEN1	protein_coding	61792911	61797238
11	61680391	61965515	285.124	rs174536+rs174577+rs174583	9	HR+QRS+QT	8.525	FADS2	protein_coding	61792980	61867354
11	61680391	61965515	285.124	rs174536+rs174577+rs174583	9	HR+QRS+QT	20.339	FADS1	protein_coding	61817003	61829318
11	61680391	61965515	285.124	rs174536+rs174577+rs174583	9	HR+QRS+QT	31.241	FADS3	protein_coding	61873519	61892051
11	61680391	61965515	285.124	rs174536+rs174577+rs174583	9	HR+QRS+QT	31.819	MYRF	protein_coding	61752636	61788518
11	61680391	61965515	285.124	rs174536+rs174577+rs174583	9	QRS+QT	75.288	RAB3IL1	protein_coding	61917566	61920269
11	61680391	61965515	285.124	rs174536+rs174577+rs174583	9	HR	104.064	DAGLA	protein_coding	61680391	61747001
11	61680391	61965515	285.124	rs174536+rs174577+rs174583	9	QRS+QT	108.073	BEST1	protein_coding	61950351	61965515
02	159196220	159616569	420.349	rs17494056	2	HR	39.578	WDSUB1	protein_coding	159235798	159286703
02	159196220	159616569	420.349	rs17494056	2	HR	122.759	BAZ2B	protein_coding	159318979	159616569
17	46818692	46979253	160.561	rs17608766	4	QRS	12.83	GOSR2	protein_coding	46923075	46975524
17	46818692	46979253	160.561	rs17608766	4	QRS	42.251	RPRML	protein_coding	46978156	46979253
17	46818692	46979253	160.561	rs17608766	4	QRS	102.704	WNT9B	protein_coding	46833201	46886730
17	46818692	46979253	160.561	rs17608766	4	QRS	117.213	WNT3	protein_coding	46818692	46833154
03	62398346	62875416	477.07	rs17639063	1	JT	136.089	CADPS	protein_coding	62398346	62875416
14	43178407	44507283	1328.876	rs1777084	1	JT	1325.742	FSCB	protein_coding	44504149	44507283
03	47381011	47580792	199.781	rs17784882	4	QT	6.873	ELP6	protein_coding	47495640	47513712
03	47381011	47580792	199.781	rs17784882	4	QT	26.572	SCAP	protein_coding	47475941	47477126
03	47381011	47580792	199.781	rs17784882	4	QT	76.352	CSPG5	protein_coding	47578865	47580792
03	47381011	47580792	199.781	rs17784882	4	QT	121.502	PTPN23	protein_coding	47381011	47413435
07	100826820	101058859	232.039	rs17881696	9	HR	0.148	ACHE	protein_coding	100895886	100896974
07	100826820	101058859	232.039	rs17881696	9	HR	7.017	UFSP1	protein_coding	100888721	100889715
07	100826820	101058859	232.039	rs17881696	9	HR	20.635	SRRT	protein_coding	100875103	100888664
07	100826820	101058859	232.039	rs17881696	9	HR	28.351	TRIP6	protein_coding	100867387	100873454
07	100826820	101058859	232.039	rs17881696	9	HR	53.796	MUC3A	protein_coding	100949534	100968347
07	100826820	101058859	232.039	rs17881696	9	HR	68.623	EPHB4	protein_coding	100827115	100827523
07	100826820	101058859	232.039	rs17881696	9	HR	68.918	SLC12A9	protein_coding	100826820	100867010
07	100826820	101058859	232.039	rs17881696	9	HR	73.885	MUC12	protein_coding	100969623	101018939
07	100826820	101058859	232.039	rs17881696	9	HR	124.334	MUC17	protein_coding	101020072	101058859
07	93885396	94004382	118.986	rs180239	3	HR	0.632	GNG11	protein_coding	93921735	93928610
07	93885396	94004382	118.986	rs180239	3	HR	35.707	TFPI2	protein_coding	93885396	93890753
07	93885396	94004382	118.986	rs180239	3	HR	83.252	BET1	protein_coding	94004355	94004382
07	150824627	151144436	319.809	rs1805123+rs2072413+rs3807375	11	JT+QT	4.923	KCNH2	protein_coding	150955804	150978321
07	150824627	151144436	319.809	rs1805123+rs2072413+rs3807375	11	JT+QT	20.895	NOS3	protein_coding	150991017	151014588
07	150824627	151144436	319.809	rs1805123+rs2072413+rs3807375	11	JT+QT	42.663	ATG9B	protein_coding	151012785	151024499
07	150824627	151144436	319.809	rs1805123+rs2072413+rs3807375	11	JT+QT	58.3	ABCB8	protein_coding	151028422	151047782
07	150824627	151144436	319.809	rs1805123+rs2072413+rs3807375	11	JT+QT	78.17	ASIC3	protein_coding	151048292	151052756
07	150824627	151144436	319.809	rs1805123+rs2072413+rs3807375	11	JT+QT	83.693	CDK5	protein_coding	151053815	151057897
07	150824627	151144436	319.809	rs1805123+rs2072413+rs3807375	11	JT+QT	87.088	SLC4A2	protein_coding	151057210	151076526
07	150824627	151144436	319.809	rs1805123+rs2072413+rs3807375	11	QT	110.672	FASTK	protein_coding	151080794	151080866
07	150824627	151144436	319.809	rs1805123+rs2072413+rs3807375	11	QT	112.969	TMUB1	protein_coding	151083091	151083493
07	150824627	151144436	319.809	rs1805123+rs2072413+rs3807375	11	QT	115.709	AGAP3	protein_coding	151085831	151144436
07	150824627	151144436	319.809	rs1805123+rs2072413+rs3807375	11	JT+QT	123.819	AOC1	protein_coding	150824627	150861504
21	34364006	34615113	251.107	rs1805128	6	QT	10.222	KCNE1	protein_coding	34459604	34512214
21	34364006	34615113	251.107	rs1805128	6	QT	30.667	SMIM34	protein_coding	34418715	34423951
21	34364006	34615113	251.107	rs1805128	6	QT	49.27	C21orf140	protein_coding	34400112	34401072
21	34364006	34615113	251.107	rs1805128	6	QT	72.201	RCAN1	protein_coding	34521583	34615113
21	34364006	34615113	251.107	rs1805128	6	QT	73.902	SMIM11	protein_coding	34375480	34416961
21	34364006	34615113	251.107	rs1805128	6	QT	85.376	KCNE2	protein_coding	34364006	34371381
01	9823965	10181239	357.274	rs182770070	6	HR	3.01	NMNAT1	protein_coding	9943428	9985501
01	9823965	10181239	357.274	rs182770070	6	HR	4.798	LZIC	protein_coding	9935620	9943407
01	9823965	10181239	357.274	rs182770070	6	HR	30.149	CTNNBIP1	protein_coding	9910269	9910336
01	9823965	10181239	357.274	rs182770070	6	HR	56.788	RBP7	protein_coding	9997206	10016021
01	9823965	10181239	357.274	rs182770070	6	HR	92.414	UBE4B	protein_coding	10032832	10181239
01	9823965	10181239	357.274	rs182770070	6	HR	116.453	CLSTN1	protein_coding	9823965	9823984
13	73686089	74133929	447.84	rs1886512+rs728926	1	QRS+QT	252.896	KLF12	protein_coding	73686089	74133929
01	62114402	62212328	97.926	rs1890262	1	JT	80.447	L1TD1	protein_coding	62194849	62212328
08	102864163	103073051	208.888	rs1961102	2	QT	56.454	AZIN1	protein_coding	102864163	102893864
08	102864163	103073051	208.888	rs1961102	2	QT	100.446	ATP6V1C1	protein_coding	103021063	103073051
01	169367970	169854080	486.11	rs1983546+rs6018+rs6027+rs6033	6	JT+QT	13.036	SLC19A2	protein_coding	169463909	169485944
01	169367970	169854080	486.11	rs1983546+rs6018+rs6027+rs6033	6	JT+QT	33.866	F5	protein_coding	169586481	169586588
01	169367970	169854080	486.11	rs1983546+rs6018+rs6027+rs6033	6	JT+QT	49.471	CCDC181	protein_coding	169427474	169460669
01	169367970	169854080	486.11	rs1983546+rs6018+rs6027+rs6033	6	JT+QT	66.604	SELP	protein_coding	169619219	169630193
01	169367970	169854080	486.11	rs1983546+rs6018+rs6027+rs6033	6	QT	108.975	BLZF1	protein_coding	169367970	169396540
01	169367970	169854080	486.11	rs1983546+rs6018+rs6027+rs6033	6	JT+QT	109.392	C1orf112	protein_coding	169662007	169854080
17	12665890	12991643	325.753	rs1984481	2	PR	55.073	ARHGAP44	protein_coding	12789498	12991643
17	12665890	12991643	325.753	rs1984481	2	PR	68.535	MYOCD	protein_coding	12665890	12768949
02	174487088	174787935	300.847	rs1991601+rs564190295	3	HR+QRS	31.538	WIPF1	protein_coding	174634579	174682916
02	174487088	174787935	300.847	rs1991601+rs564190295	3	HR	81.527	CHRNA1	protein_coding	174764472	174787935
02	174487088	174787935	300.847	rs1991601+rs564190295	3	QRS	115.953	GPR155	protein_coding	174487088	174487094
12	33374238	33529470	155.232	rs1994135	1	HR	155.232	SYT10	protein_coding	33374238	33439819
07	55365337	55433737	68.4	rs1997103	1	JT	30.053	LANCL2	protein_coding	55365337	55433737
06	5261044	5829192	568.148	rs200214	1	JT	217.749	FARS2	protein_coding	5261044	5829192
20	34844720	35092807	248.087	rs2025096	5	QRS	3.609	GSS	protein_coding	34955806	34956027
20	34844720	35092807	248.087	rs2025096	5	QRS	3.613	MYH7B	protein_coding	34955810	35002437
20	34844720	35092807	248.087	rs2025096	5	QRS	50.207	TRPC4AP	protein_coding	35002404	35092807
20	34844720	35092807	248.087	rs2025096	5	QRS	80.051	ACSS2	protein_coding	34872146	34927962
20	34844720	35092807	248.087	rs2025096	5	QRS	107.477	GGT7	protein_coding	34844720	34872856
03	38265812	38421348	155.536	rs2070492	3	JT	30.434	XYLB	protein_coding	38346760	38421348
03	38265812	38421348	155.536	rs2070492	3	JT	34.032	SLC22A14	protein_coding	38282294	38318575
03	38265812	38421348	155.536	rs2070492	3	JT	50.514	SLC22A13	protein_coding	38265812	38278757
11	2301918	2849105	547.187	rs2074238+rs2301696+rs7122937	6	QT	5.266	TSSC4	protein_coding	2400488	2403878
11	2301918	2849105	547.187	rs2074238+rs2301696+rs7122937	6	QT	17.258	TRPM5	protein_coding	2423012	2444514
11	2301918	2849105	547.187	rs2074238+rs2301696+rs7122937	6	QT	18.889	KCNQ1	protein_coding	2444684	2849105
11	2301918	2849105	547.187	rs2074238+rs2301696+rs7122937	6	QT	29.577	CD81	protein_coding	2376177	2397397
11	2301918	2849105	547.187	rs2074238+rs2301696+rs7122937	6	QT	103.757	TSPAN32	protein_coding	2301997	2318204
11	2301918	2849105	547.187	rs2074238+rs2301696+rs7122937	6	QT	103.836	C11orf21	protein_coding	2301918	2303049
22	38656392	38872249	215.857	rs2076028	9	HR	0.548	SUN2	protein_coding	38754993	38794143
22	38656392	38872249	215.857	rs2076028	9	HR	39.698	DNAL4	protein_coding	38794143	38794198
22	38656392	38872249	215.857	rs2076028	9	HR	48.703	GTPBP1	protein_coding	38705742	38738299
22	38656392	38872249	215.857	rs2076028	9	HR	53.778	JOSD1	protein_coding	38700667	38701556
22	38656392	38872249	215.857	rs2076028	9	HR	64.007	NPTXR	protein_coding	38818452	38844028
22	38656392	38872249	215.857	rs2076028	9	HR	72.488	TOMM22	protein_coding	38681957	38685421
22	38656392	38872249	215.857	rs2076028	9	HR	97.809	CBY1	protein_coding	38656636	38673854
22	38656392	38872249	215.857	rs2076028	9	HR	98.053	FAM227A	protein_coding	38656392	38656629
22	38656392	38872249	215.857	rs2076028	9	HR	117.771	CBX6	protein_coding	38872216	38872249
08	3409607	4994972	1585.365	rs2134953	1	JT	775.946	CSMD1	protein_coding	3409607	4994972
01	87328880	87427449	98.569	rs2152735	1	HR	98.569	LMO4	protein_coding	87328880	87348923
13	36297824	36442870	145.046	rs2182486	3	JT	20.688	SPART	protein_coding	36346394	36370180
13	36297824	36442870	145.046	rs2182486	3	JT	64.438	CCNA1	protein_coding	36431520	36442870
13	36297824	36442870	145.046	rs2182486	3	JT	69.258	CCDC169	protein_coding	36297824	36297840
01	61408005	61725423	317.418	rs2207790+rs9436640	1	QRS	292.846	TM2D1	protein_coding	61725141	61725423
03	66381178	66501263	120.085	rs2242285	1	QRS	119.844	LRIG1	protein_coding	66501022	66501263
14	102508662	102730561	221.899	rs2273905	2	QT	1.114	ANKRD9	protein_coding	102509776	102509799
14	102508662	102730561	221.899	rs2273905	2	QT	83.987	RCOR1	protein_coding	102592649	102730561
12	1970772	2697950	727.178	rs2283274	2	HR	70.843	DCP1B	protein_coding	2004457	2004535
12	1970772	2697950	727.178	rs2283274	2	HR	104.528	CACNA1C	protein_coding	1970772	2697950
22	27748277	27801756	53.479	rs2283847	1	HR	37.134	MN1	protein_coding	27748277	27801756
01	23306632	23531233	224.601	rs2298632	5	QT	3.073	TCEA3	protein_coding	23380909	23424748
01	23306632	23531233	224.601	rs2298632	5	QT	24.534	ZNF436	protein_coding	23359448	23369836
01	23306632	23531233	224.601	rs2298632	5	QT	52.695	ASAP3	protein_coding	23436677	23484568
01	23306632	23531233	224.601	rs2298632	5	QT	77.35	HNRNPR	protein_coding	23306632	23344336
01	23306632	23531233	224.601	rs2298632	5	QT	122.456	E2F2	protein_coding	23506438	23531233
03	53130435	53813733	683.298	rs2358740+rs4687718	5	QRS	7.735	TKT	protein_coding	53256022	53256052
03	53130435	53813733	683.298	rs2358740+rs4687718	5	HR+QRS	73.999	DCP1A	protein_coding	53347543	53347586
03	53130435	53813733	683.298	rs2358740+rs4687718	5	HR+QRS	80.676	CACNA1D	protein_coding	53328963	53813733
03	53130435	53813733	683.298	rs2358740+rs4687718	5	QRS	92.278	PRKCD	protein_coding	53156009	53192717
03	53130435	53813733	683.298	rs2358740+rs4687718	5	QRS	117.852	RFT1	protein_coding	53130435	53130453
04	71062667	71572087	509.42	rs2363719	1	QT	209.832	SLC4A4	protein_coding	71062667	71572087
10	110644336	110839468	195.132	rs2419577	1	QRS	87.526	RBM20	protein_coding	110644336	110839468
17	45844881	46225389	380.508	rs242562	4	QRS	49.877	STH	protein_coding	45999250	45999694
17	45844881	46225389	380.508	rs242562	4	QRS	54.846	MAPT	protein_coding	45894527	46028334
17	45844881	46225389	380.508	rs242562	4	QRS	96.748	KANSL1	protein_coding	46046121	46225389
17	45844881	46225389	380.508	rs242562	4	QRS	104.492	SPPL2C	protein_coding	45844881	45847067
16	14071321	14301575	230.254	rs246185	1	QT	230.254	MRTFB	protein_coding	14071321	14266773
16	58426022	58629885	203.863	rs246196+rs4784934	3	QT	24.87	SETD6	protein_coding	58515479	58523842
16	58426022	58629885	203.863	rs246196+rs4784934	3	QT	36.824	NDRG4	protein_coding	58462846	58513628
16	58426022	58629885	203.863	rs246196+rs4784934	3	QT	89.477	CNOT1	protein_coding	58629826	58629885
10	102226299	102402524	176.225	rs2485376	4	QT	44.728	GBF1	protein_coding	102245521	102382899
10	102226299	102402524	176.225	rs2485376	4	QT	58.166	PITX3	protein_coding	102232083	102241512
10	102226299	102402524	176.225	rs2485376	4	QT	63.95	ELOVL3	protein_coding	102226299	102229589
10	102226299	102402524	176.225	rs2485376	4	QT	103.861	NFKB2	protein_coding	102394110	102402524
05	173056352	173328447	272.095	rs255292+rs4868243	4	HR+PR	9.421	BNIP1	protein_coding	173144442	173164387
05	173056352	173328447	272.095	rs255292+rs4868243	4	HR+PR	19.091	NKX2-5	protein_coding	173235206	173235311
05	173056352	173328447	272.095	rs255292+rs4868243	4	PR	97.511	CREBRF	protein_coding	173056352	173139284
05	173056352	173328447	272.095	rs255292+rs4868243	4	HR	112.299	STC2	protein_coding	173328414	173328447
13	20702127	20903048	200.921	rs2585897	3	PR	77.906	XPO4	protein_coding	20902746	20903048
13	20702127	20903048	200.921	rs2585897	3	PR	96.109	EEF1AKMT1	protein_coding	20728731	20773961
13	20702127	20903048	200.921	rs2585897	3	PR	122.713	IL17D	protein_coding	20702127	20723098
01	44546601	44674481	127.88	rs272564	1	HR	127.858	TMEM53	protein_coding	44674459	44674481
02	102718334	103019900	301.566	rs2732860	2	PR	44.97	TMEM182	protein_coding	102736905	103019900
02	102718334	103019900	301.566	rs2732860	2	PR	63.541	MFSD9	protein_coding	102718334	102736888
06	7389390	7611967	222.577	rs2744375+rs7771320	4	HR+QRS	12.989	DSP	protein_coding	7541617	7586714
06	7389390	7611967	222.577	rs2744375+rs7771320	4	HR+QRS	35.592	SNRNP48	protein_coding	7590198	7611967
06	7389390	7611967	222.577	rs2744375+rs7771320	4	QRS	112.708	RIOK1	protein_coding	7389808	7418037
06	7389390	7611967	222.577	rs2744375+rs7771320	4	QRS	113.126	CAGE1	protein_coding	7389390	7389742
01	207752037	208244384	492.347	rs2745959+rs41317993	3	HR	4.822	CD34	protein_coding	207911125	207911402
01	207752037	208244384	492.347	rs2745959+rs41317993	3	HR	36.35	CD46	protein_coding	207752037	207795513
01	207752037	208244384	492.347	rs2745959+rs41317993	3	HR	106.295	PLXNA2	protein_coding	208022242	208244384
12	56636366	56787790	151.424	rs2926743+rs2958149	6	JT	4.955	NACA	protein_coding	56725271	56731628
12	56636366	56787790	151.424	rs2926743+rs2958149	6	JT	10.98	PRIM1	protein_coding	56731296	56752374
12	56636366	56787790	151.424	rs2926743+rs2958149	6	JT	28.011	PTGES3	protein_coding	56687997	56688408
12	56636366	56787790	151.424	rs2926743+rs2958149	6	JT	31.845	HSD17B6	protein_coding	56752161	56787790
12	56636366	56787790	151.424	rs2926743+rs2958149	6	JT	70.729	ATP5F1B	protein_coding	56645279	56645984
12	56636366	56787790	151.424	rs2926743+rs2958149	6	JT	79.642	BAZ2A	protein_coding	56636366	56636816
02	200295976	200482264	186.288	rs295140	1	QT	9.905	SPATS2L	protein_coding	200305881	200482264
01	25998063	26189884	191.821	rs2997447	10	QRS	6.698	TRIM63	protein_coding	26067630	26068436
01	25998063	26189884	191.821	rs2997447	10	QRS	14.819	SLC30A2	protein_coding	26046113	26046118
01	25998063	26189884	191.821	rs2997447	10	QRS	41.048	EXTL1	protein_coding	26019884	26036464
01	25998063	26189884	191.821	rs2997447	10	QRS	50.241	PDIK1L	protein_coding	26111173	26125555
01	25998063	26189884	191.821	rs2997447	10	QRS	62.869	PAFAH2	protein_coding	25998063	25998117
01	25998063	26189884	191.821	rs2997447	10	QRS	98.147	FAM110D	protein_coding	26159079	26163962
01	25998063	26189884	191.821	rs2997447	10	QRS	103.169	C1orf232	protein_coding	26164101	26168963
01	25998063	26189884	191.821	rs2997447	10	QRS	108.976	ZNF593	protein_coding	26169908	26170873
01	25998063	26189884	191.821	rs2997447	10	QRS	110.889	ZNF593OS	protein_coding	26171821	26171831
01	25998063	26189884	191.821	rs2997447	10	QRS	116.559	CNKSR1	protein_coding	26177491	26189884
12	110280756	110403730	122.974	rs3026445	2	QT	4.642	ATP2A2	protein_coding	110280756	110351093
12	110280756	110403730	122.974	rs3026445	2	QT	118.31	ANAPC7	protein_coding	110403708	110403730
